Original Entry,Corrected Title,Author,Notes
"A new world: Reckoning",A New World: Reckoning,John O'Brien,A New World series #8
Gates of Fire,Gates of Fire,Steven Pressfield,
"Nors Gods, Goddesses",Norse Mythology,Neil Gaiman,
The book of skiulls,The Book of Skulls,Robert Silverberg,
Vanity Fiar,Vanity Fair,William Makepeace Thackeray,
The vampire tapestry,The Vampire Tapestry,Suzy McKee Charnas,
Ender's Game,"Ender's Game",Orson Scott Card,
American Gods,American Gods,Neil Gaiman,
The Exorcist,The Exorcist,William Peter Blatty,
The Imago Sequience,The Imago Sequence and Other Stories,Laird Barron,
The Dead years 1,The Dead Years 1,Jeff Olah,
The Dead years 2,The Dead Years 2,Jeff Olah,
The Dead years 3,The Dead Years 3,Jeff Olah,
The Dead years 4,The Dead Years 4,Jeff Olah,
The Dead years 5,The Dead Years 5,Jeff Olah,
s the workd dies,As the World Dies,Rhiannon Frater,Zombie trilogy
Nocrtunes,Nocturnes,John Connolly,
Under the Dome,Under the Dome,Stephen King,
The ket to everything,The Key to Everything,Alex Kimmell,
The Secret Holocaust Diaries,The Secret Holocaust Diaries,Nonna Bannister,
Rosswell Redemption,Roswell Redemption,Cindi Crane,
The Ghost of Varner Greek,The Ghost of Varner Creek,Michael Weems,
The dark monk,The Dark Monk,Oliver Potzsch,Hangman's Daughter Tales #2
"Engage!","Engage!",Brian Solis,
"A Zombie Apocalups, Luehke Keith",A Zombie Apocalypse,Keith Luethke,VERIFY author spelling
Wining Cjack Welch,Winning,Jack Welch,
UR,UR,Stephen King,
11/22/63,11/22/63,Stephen King,
Crusader,Crusader,Andrew Chapman,
Area 187 - Almost Hell,Area 187: Almost Dead,Eric R. Lowther,VERIFY exact title
The eden project,The Eden Project,John Bolin,
play dead,Play Dead,Anne Frasier,
"After, Taras and Theron","Beyond Jerusalem: After, Taras and Theron",David McAfee,
61 AD,61 A.D.,David McAfee,
33 AD,33 A.D.,David McAfee,
Run Blake Crouch,Run,Blake Crouch,
Mile 81,Mile 81,Stephen King,
Seed Ania Ahiborn,Seed,Ania Ahlborn,
Divergent,Divergent,Veronica Roth,
Shapeshifter Anaonymouts,Shapeshifters Anonymous,J.A. Konrath,
Wolf Hunt,Wolf Hunt,Jeff Strand,
The Extinct,The Extinct,Victor Methos,VERIFY author
"Ancient Enemies, Ancient Awakening",Ancient Awakening,Matthew Bryan Laube,VERIFY - Ancient Enemies may be sequel
"Ancient Enemies, Ancient Awakening",Ancient Enemies,Matthew Bryan Laube,VERIFY - may be book 2 of series
Torment,Torment,Jeremy Robinson,
The List origin,The List,J.A. Konrath,
The Linkcoln Lawyer,The Lincoln Lawyer,Michael Connelly,
The Fall of the House of Zeus,The Fall of the House of Zeus,Curtis Wilkie,
The Apothecary's Daughter,"The Apothecary's Daughter",Julie Klassen,
The Red Church,The Red Church,Scott Nicholson,
The Hangman's Daughter,"The Hangman's Daughter",Oliver Potzsch,Hangman's Daughter Tales #1
"Full Dark, No Starts","Full Dark, No Stars",Stephen King,
Dracula,Dracula,Bram Stoker,
Leadership Can Be Taucht,Leadership Can Be Taught,Sharon Daloz Parks,
The Grand Design,The Grand Design,"Stephen Hawking, Leonard Mlodinow",
The hapiness project,The Happiness Project,Gretchen Rubin,
"Principles for Dealing with the Changing World Order","Principles for Dealing with the Changing World Order: Why Nations Succeed and Fail",Ray Dalio,
